Key	Korean	English
VisionTool.ParameterGuide.Line.ShowScanLines.Risk	현재 화면에서 꺼도 선이 남는 것은 저장 실패가 아니라 경로 차이입니다. 이를 알고리즘 미적용이나 오류로 오해하지 마세요.	Lines remaining after it is disabled in the current UI reflect the path boundary, not a save failure. Do not mistake this for algorithm failure.
VisionTool.ParameterGuide.Line.ShowScanLines.Check	명시적 미리보기 후 현재 D#/스캔 증거가 유지되고 Preview 수·레이어·라우팅이 옵션 변경만으로 변하지 않는지 확인하세요.	After explicit Preview, confirm current D#/scan evidence remains and that changing the option alone does not alter Preview count, layers, or routing.
VisionTool.ParameterGuide.Line.ShowEdges.Summary	레거시 비트맵 Draw 경로에서 검출 엣지점을 표시할지 정합니다. 현재 WPF 직접 미리보기와 Pipeline Review는 엣지 증거를 항상 유지합니다.	Controls detected-edge-point visibility in the legacy bitmap Draw path. Current WPF direct Preview and Pipeline Review always retain edge evidence.
VisionTool.ParameterGuide.Line.ShowEdges.Impact	현재 WPF/Pipeline에서 바꿔도 엣지 검출, EdgePointCount, 수치와 드로잉은 달라지지 않습니다.	In current WPF/Pipeline, changing it does not alter edge detection, EdgePointCount, metrics, or drawings.
VisionTool.ParameterGuide.Line.ShowEdges.BestWhen	레거시 결과 이미지의 표시 밀도만 줄여야 할 때 사용하세요. 현재 피팅·거리 결과 검증 중에는 엣지 증거를 유지하세요.	Use it only to reduce display density in a legacy result image. Keep edge evidence visible while validating fit or distance results.
VisionTool.ParameterGuide.Line.ShowEdges.Risk	표시를 숨기는 것은 검출 제외가 아닙니다. 반대로 현재 화면에 점이 남아 있어도 옵션 저장이 실패한 것은 아닙니다.	Hiding a drawing is not detection filtering. Conversely, points remaining in the current UI do not mean the option failed to persist.
VisionTool.ParameterGuide.Line.ShowEdges.Check	EdgePointCount가 변하지 않는지와 현재 WPF/Pipeline 엣지 오버레이가 유지되는지 확인하세요.	Verify that EdgePointCount is unchanged and current WPF/Pipeline edge overlays remain visible.
VisionTool.ParameterGuide.Line.ShowContour.Summary	레거시 비트맵 Draw 경로에서 검출 엣지점을 연결한 선을 표시할지 정합니다. 현재 WPF 직접 미리보기와 Pipeline Review는 이 플래그를 적용하지 않습니다.	Controls the connected edge-point line in the legacy bitmap Draw path. Current WPF direct Preview and Pipeline Review do not apply this flag.
VisionTool.ParameterGuide.Line.ShowContour.Impact	현재 WPF/Pipeline에서 바꿔도 검출점·피팅·거리 수치와 현재 오버레이는 달라지지 않습니다.	In current WPF/Pipeline, changing it does not alter detected points, fitting, distance metrics, or current overlays.
VisionTool.ParameterGuide.Line.ShowContour.BestWhen	레거시 결과에서 점 연결선의 표시 여부만 선택할 때 사용하세요. 알고리즘 품질 조정에는 사용하지 마세요.	Use it only to choose whether a legacy result connects edge points. Do not use it to tune algorithm quality.
VisionTool.ParameterGuide.Line.ShowContour.Risk	연결선의 모양을 실제 검출 윤곽이나 추가 피팅 증거로 과대 해석하지 마세요.	Do not overinterpret the connected drawing as a detected contour or additional fitting evidence.
VisionTool.ParameterGuide.Line.ShowContour.Check	동일 결과의 EdgePointCount·FitLine·DistancePx가 유지되는지 확인하고, 현재 UI에 변화가 없는 경로 제한을 확인하세요.	Confirm EdgePointCount, FitLine, and DistancePx remain unchanged and verify the current UI path shows no change.
VisionTool.ParameterGuide.Line.ShowFitLine.Summary	레거시 비트맵 Draw 경로에서 피팅선 표시 여부를 정합니다. 현재 WPF 직접 미리보기와 Pipeline Review는 피팅 증거를 유지하며 이 플래그를 적용하지 않습니다.	Controls fitted-line visibility in the legacy bitmap Draw path. Current WPF direct Preview and Pipeline Review retain fit evidence and do not apply this flag.
VisionTool.ParameterGuide.Line.ShowFitLine.Impact	현재 WPF/Pipeline에서 바꿔도 피팅 계산, 선 각도·길이, 거리 수치와 현재 드로잉은 달라지지 않습니다.	In current WPF/Pipeline, changing it does not alter fitting, line angle/length, distance metrics, or current drawings.
VisionTool.ParameterGuide.Line.ShowFitLine.BestWhen	레거시 결과 이미지에서 피팅선 표시만 줄일 때 사용하세요. USE_EXTEND_FIT_LINE의 거리 계산 전환과 혼동하지 마세요.	Use it only to reduce fitted-line display in a legacy result image. Do not confuse it with the USE_EXTEND_FIT_LINE distance-mode switch.
VisionTool.ParameterGuide.Line.ShowFitLine.Risk	표시 플래그를 끄는 것은 피팅을 비활성화하지 않습니다. 현재 UI에 선이 남는 것도 계산 실패나 저장 실패가 아닙니다.	Disabling this display flag does not disable fitting. A line remaining in the current UI is not a calculation or persistence failure.
VisionTool.ParameterGuide.Line.ShowFitLine.Check	LineAngle·LineLength·DistancePx 결과가 유지되고 현재 WPF/Pipeline 피팅선 증거가 남는지 확인하세요.	Confirm LineAngle, LineLength, and DistancePx results remain unchanged and current WPF/Pipeline fit evidence remains visible.
VisionTool.ParameterGuide.Affine.SourcePointX.Summary	입력 좌표계에서 선택한 소스 점의 X 픽셀 좌표입니다. 소스 점 1·2·3은 같은 번호의 목표 점 1·2·3에 순서대로 대응합니다. Direct Tool은 이 숫자를 사용하고, Recipe의 검출 Point 모드가 켜지면 실행 시 검출 좌표로 대체됩니다.	The X pixel coordinate of a selected source point in the input coordinate system. Source points 1, 2, and 3 correspond in order to destination points 1, 2, and 3. The Direct Tool uses this number; Recipe detected-Point mode replaces it with the detected coordinate at Run time.
VisionTool.ParameterGuide.Affine.SourcePointX.Impact	X를 바꾸면 한 대응점이 좌우로 이동하여 계산되는 2x3 행렬의 이동·회전·X/Y 배율·기울기와 출력의 잘림 범위가 함께 달라질 수 있습니다.	Changing X moves one correspondence horizontally and can alter translation, rotation, X/Y scale, shear, and output cropping in the calculated 2x3 matrix.
VisionTool.ParameterGuide.Affine.SourcePointX.BestWhen	입력 영상에서 같은 물리 특징의 좌표를 사용하고 세 점을 넓게 벌려 일직선이 되지 않도록 티칭할 때 사용하세요. 검출 Point 모드라면 이 고정값 대신 세 검출기와 순서를 검증하세요.	Use coordinates from the same physical features in the input image and keep the three points widely separated and non-collinear. In detected-Point mode, verify the three detectors and their order instead of this fixed value.
VisionTool.ParameterGuide.Affine.SourcePointX.Risk	번호 대응이 뒤바뀌면 수치상 유효해도 반전·전단된 잘못된 영상이 생길 수 있습니다. 영상 밖 좌표도 허용되므로 실행 성공만으로 물리적으로 올바른 대응을 보장하지 않습니다.	Swapping correspondence numbers can produce a numerically valid but mirrored or sheared image. Off-image coordinates are allowed, so execution success does not prove physically correct correspondence.
VisionTool.ParameterGuide.Affine.SourcePointX.Check	명시적 Preview 후 AffineSourceTriangleArea, 6개 행렬 계수, 목표 삼각형과 변환된 소스 프레임 드로잉, AffineValidPixelRatio 및 후속 고정 ROI 위치를 확인하세요.	After explicit Preview, check AffineSourceTriangleArea, all six matrix coefficients, destination-triangle and transformed-source-frame drawings, AffineValidPixelRatio, and downstream fixed-ROI position.
VisionTool.ParameterGuide.Affine.SourcePointY.Summary	입력 좌표계에서 선택한 소스 점의 Y 픽셀 좌표입니다. 영상 좌표의 Y는 아래쪽으로 증가하며, 같은 번호의 목표 점과 한 쌍을 이룹니다. Direct Tool은 이 숫자를 사용하고 검출 Point 모드는 실행 시 대체합니다.	The Y pixel coordinate of a selected source point in the input coordinate system. Image Y increases downward, and the point pairs with the destination point of the same number. The Direct Tool uses this number; detected-Point mode replaces it at Run time.
VisionTool.ParameterGuide.Affine.SourcePointY.Impact	Y를 바꾸면 한 대응점이 위아래로 이동하여 행렬의 이동·회전·배율·기울기와 출력에서 유지되는 소스 영역이 달라질 수 있습니다.	Changing Y moves one correspondence vertically and can alter matrix translation, rotation, scale, shear, and how much source area remains in the output.
VisionTool.ParameterGuide.Affine.SourcePointY.BestWhen	입력 영상의 동일한 물리 기준점 중심을 일관된 좌표계로 측정하고 세 점이 충분한 삼각형 면적을 만들 때 사용하세요.	Use a consistent input coordinate system for the same physical reference-point centers and ensure the three points form a sufficiently large triangle.
VisionTool.ParameterGuide.Affine.SourcePointY.Risk	화면 Y 방향을 반대로 이해하거나 점 순서를 바꾸면 의도와 다른 회전·반전이 생길 수 있습니다. 거의 일직선인 세 점은 작은 좌표 오차를 크게 증폭합니다.	Misreading the downward image-Y direction or swapping point order can create unintended rotation or mirroring. Nearly collinear points amplify small coordinate errors.
VisionTool.ParameterGuide.Affine.SourcePointY.Check	Preview의 목표 점 번호·변환 프레임, AffineSourceTriangleArea, AffineRotationDeg·ScaleX/Y·ShearCosine과 후속 ROI 정렬을 함께 확인하세요.	In Preview, check destination point numbers, transformed frame, AffineSourceTriangleArea, AffineRotationDeg, ScaleX/Y, ShearCosine, and downstream ROI alignment.
VisionTool.ParameterGuide.Affine.DestinationPointX.Summary	같은 번호의 소스 점이 출력 좌표계에서 도착해야 하는 X 픽셀 좌표입니다. 세 목표 점이 Affine 결과의 기준 위치·방향·크기·기울기를 정의합니다.	The output-coordinate X pixel where the source point with the same number must land. The three destination points define the affine result's reference position, orientation, scale, and shear.
VisionTool.ParameterGuide.Affine.DestinationPointX.Impact	X를 바꾸면 해당 기준점의 가로 위치와 목표 삼각형 형상이 변해 출력 내용의 좌우 이동·배율·회전·전단 및 캔버스 밖 잘림이 달라질 수 있습니다.	Changing X alters that reference point's horizontal position and destination-triangle shape, which can change horizontal translation, scale, rotation, shear, and off-canvas clipping.
VisionTool.ParameterGuide.Affine.DestinationPointX.BestWhen	후속 고정 ROI가 사용할 검토된 기준 영상 좌표를 먼저 정하고, 소스 점과 동일한 물리 특징 순서로 목표 좌표를 입력할 때 사용하세요.	Use it after defining the reviewed reference-image coordinates required by downstream fixed ROIs, with destination points ordered to match the same physical source features.
VisionTool.ParameterGuide.Affine.DestinationPointX.Risk	출력 크기와 맞지 않는 큰 좌표는 변환 영상을 캔버스 밖으로 보내며, 점 번호 오류는 수치상 성공해도 잘못된 물리 정렬을 만들 수 있습니다.	Large coordinates inconsistent with output size can move the transformed image off canvas, and wrong point numbering can create physically wrong alignment despite numeric success.
VisionTool.ParameterGuide.Affine.DestinationPointX.Check	Preview에서 Affine Destination 1·2·3 점과 삼각형, 변환된 소스 프레임, AffineTranslationX와 AffineValidPixelRatio를 확인하세요.	In Preview, inspect Affine Destination points 1, 2, and 3, their triangle, the transformed source frame, AffineTranslationX, and AffineValidPixelRatio.
VisionTool.ParameterGuide.Affine.DestinationPointY.Summary	같은 번호의 소스 점이 출력 좌표계에서 도착해야 하는 Y 픽셀 좌표입니다. 출력 영상의 Y는 아래쪽으로 증가합니다.	The output-coordinate Y pixel where the source point with the same number must land. Output-image Y increases downward.
VisionTool.ParameterGuide.Affine.DestinationPointY.Impact	Y를 바꾸면 해당 기준점의 세로 위치와 목표 삼각형 형상이 변해 출력의 상하 이동·회전·배율·기울기와 위아래 잘림이 달라질 수 있습니다.	Changing Y alters that reference point's vertical position and destination-triangle shape, which can change vertical translation, rotation, scale, shear, and top/bottom clipping.
VisionTool.ParameterGuide.Affine.DestinationPointY.BestWhen	후속 검사 ROI와 측정 기준이 사용할 출력 Y 좌표를 검토된 기준 영상에서 확정한 뒤 사용하세요.	Use it after fixing the output Y coordinates required by downstream inspection ROIs and measurement references on a reviewed reference image.
VisionTool.ParameterGuide.Affine.DestinationPointY.Risk	영상 Y 방향이나 대응 순서를 잘못 이해하면 출력이 뒤집히거나 기울어질 수 있습니다. 목표 세 점이 거의 일직선이면 실행은 게이트에서 거부되거나 불안정해집니다.	Misreading image-Y direction or correspondence order can flip or shear the output. Nearly collinear destination points are rejected by the gate or produce unstable teaching.
VisionTool.ParameterGuide.Affine.DestinationPointY.Check	Preview의 목표 삼각형이 의도한 기준 프레임인지, AffineDestinationTriangleArea·AffineTranslationY·AffineValidPixelRatio와 후속 ROI 위치가 맞는지 확인하세요.	Verify that the Preview destination triangle is the intended reference frame and check AffineDestinationTriangleArea, AffineTranslationY, AffineValidPixelRatio, and downstream ROI position.
VisionTool.ParameterGuide.Affine.OutputWidth.Summary	Affine 결과 캔버스의 가로 픽셀 수입니다. 0이면 입력 영상 폭을 유지하고, 1..32768은 명시한 출력 폭을 사용합니다.	The affine result canvas width in pixels. Zero keeps the input-image width; 1 through 32768 uses the specified output width.
VisionTool.ParameterGuide.Affine.OutputWidth.Impact	폭을 늘리면 더 넓은 출력 좌표를 담지만 빈 경계 영역과 처리량이 늘 수 있습니다. 줄이면 목표 점이나 변환된 소스 프레임이 좌우에서 잘리고 유효 픽셀 비율이 낮아질 수 있습니다.	A larger width can retain more output coordinates but adds border area and work. A smaller width can clip destination points or the transformed source frame and lower valid-pixel ratio.
VisionTool.ParameterGuide.Affine.OutputWidth.BestWhen	후속 고정 ROI와 저장 형식이 요구하는 기준 캔버스 폭을 알고 있을 때 양수로 고정하고, 입력 폭을 그대로 쓸 때만 0을 사용하세요.	Set a positive value when the reference canvas width required by downstream fixed ROIs or storage is known; use zero only to keep the input width.
VisionTool.ParameterGuide.Affine.OutputWidth.Risk	캔버스 크기는 좌표를 자동 재배율하지 않습니다. 목표 X 좌표보다 작은 폭은 잘림을 만들 수 있고 큰 폭은 BorderType으로 채운 영역을 늘릴 수 있습니다.	Canvas size does not rescale coordinates automatically. A width smaller than destination X coordinates can clip content, while a large width can add more BorderType-filled area.
VisionTool.ParameterGuide.Affine.OutputWidth.Check	ResultImageWidth, 목표 점/프레임의 좌우 잘림, AffineValidPixelRatio, 처리 시간과 후속 ROI가 모두 캔버스 안에 있는지 확인하세요.	Check ResultImageWidth, left/right clipping of destination points and frame, AffineValidPixelRatio, runtime, and whether all downstream ROIs remain inside the canvas.
VisionTool.ParameterGuide.Affine.OutputHeight.Summary	Affine 결과 캔버스의 세로 픽셀 수입니다. 0이면 입력 영상 높이를 유지하고, 1..32768은 명시한 출력 높이를 사용합니다.	The affine result canvas height in pixels. Zero keeps the input-image height; 1 through 32768 uses the specified output height.
VisionTool.ParameterGuide.Affine.OutputHeight.Impact	높이를 늘리면 더 넓은 세로 좌표를 담지만 빈 경계와 처리량이 늘 수 있습니다. 줄이면 목표 점이나 변환 프레임이 위아래에서 잘리고 유효 픽셀 비율이 낮아질 수 있습니다.	A larger height can retain more vertical coordinates but adds border area and work. A smaller height can clip destination points or the transformed frame and lower valid-pixel ratio.
VisionTool.ParameterGuide.Affine.OutputHeight.BestWhen	후속 고정 ROI가 사용할 기준 캔버스 높이가 정해졌을 때 양수로 고정하고, 입력 높이를 유지할 때만 0을 사용하세요.	Set a positive value when the reference canvas height used by downstream fixed ROIs is defined; use zero only to keep the input height.
VisionTool.ParameterGuide.Affine.OutputHeight.Risk	목표 Y 좌표보다 작은 높이는 결과를 자르며, 큰 높이는 경계 채움 영역을 늘립니다. 폭/높이 변경은 대응점 좌표를 자동 보정하지 않습니다.	A height smaller than destination Y coordinates clips the result, while a large height adds border-filled area. Width/height changes do not adjust correspondence coordinates automatically.
VisionTool.ParameterGuide.Affine.OutputHeight.Check	ResultImageHeight, 위아래 잘림, AffineValidPixelRatio, 처리 시간과 후속 ROI의 Y 범위를 확인하세요.	Check ResultImageHeight, top/bottom clipping, AffineValidPixelRatio, runtime, and downstream ROI Y ranges.
VisionTool.ParameterGuide.Affine.Interpolation.Summary	WarpAffine가 출력 픽셀의 소스 값을 계산하는 보간 방식입니다. 현재 런타임은 Nearest, Linear, Cubic, Lanczos4만 허용합니다.	The interpolation method WarpAffine uses to calculate source values for output pixels. The current runtime supports only Nearest, Linear, Cubic, and Lanczos4.
VisionTool.ParameterGuide.Affine.Interpolation.Impact	Nearest는 원래 값 경계를 가장 직접적으로 보존하지만 계단 현상이 있고, Linear는 기본 균형, Cubic/Lanczos4는 더 넓은 이웃을 사용해 선명도·링잉·처리 시간이 달라집니다.	Nearest most directly preserves original value boundaries but can look jagged; Linear is the balanced default; Cubic and Lanczos4 use wider neighborhoods and change sharpness, ringing, and runtime.
VisionTool.ParameterGuide.Affine.Interpolation.BestWhen	후속 Threshold/Edge가 회색값 변화에 민감하면 동일 대표 샘플에서 후보 방식을 비교하고, 검증된 가장 단순한 방식을 고정하세요.	If downstream Threshold or Edge is sensitive to gray-value changes, compare candidate methods on the same representative samples and freeze the simplest validated choice.
VisionTool.ParameterGuide.Affine.Interpolation.Risk	보간은 위치 행렬을 바꾸지 않지만 픽셀값과 경계 모양을 바꿔 후속 임계값·Blob·Edge 결과를 달라지게 할 수 있습니다. Area 등 미지원 값은 실행 전에 실패합니다.	Interpolation does not change the position matrix, but it changes pixel values and edge shape and can alter downstream Threshold, Blob, or Edge results. Unsupported values such as Area fail before execution.
VisionTool.ParameterGuide.Affine.Interpolation.Check	같은 변환에서 미세 경계·회색값·링잉, 후속 ResultCount/측정값과 처리 시간을 비교하고 행렬 계수는 동일한지 확인하세요.	On the same transform, compare fine edges, gray values, ringing, downstream ResultCount or measurements, and runtime, and verify the matrix coefficients remain identical.
VisionTool.ParameterGuide.Affine.BorderType.Summary	역변환이 소스 영상 밖을 참조할 때 출력 픽셀을 채우는 정책입니다. 현재 Constant, Replicate, Reflect, Wrap, Reflect101을 허용합니다.	The policy used to fill output pixels whose inverse mapping references outside the source image. The current runtime supports Constant, Replicate, Reflect, Wrap, and Reflect101.
VisionTool.ParameterGuide.Affine.BorderType.Impact	Constant는 BorderValue로 채우고, Replicate/Reflect/Wrap 계열은 가장자리 값을 연장하거나 반복해 서로 다른 인공 무늬와 엣지를 만들 수 있습니다.	Constant fills with BorderValue; Replicate, Reflect, and Wrap variants extend or repeat edge values and can create different artificial patterns and edges.
VisionTool.ParameterGuide.Affine.BorderType.BestWhen	후속 검사가 변환 프레임 외곽을 포함한다면 실제 배경과 가장 가까운 정책을 대표 OK/NG에서 검증하세요. 고정 배경이 필요하면 Constant를 사용하세요.	If downstream inspection includes the transformed-frame border, validate the policy closest to the real background on representative OK/NG samples. Use Constant when a fixed background is required.
VisionTool.ParameterGuide.Affine.BorderType.Risk	반사·반복 경계는 존재하지 않는 Blob·Contour·Edge 후보를 만들 수 있습니다. 경계 채움 픽셀은 AffineValidPixelRatio의 유효 소스 픽셀로 계산되지 않습니다.	Reflected or repeated borders can create nonexistent Blob, Contour, or Edge candidates. Border-filled pixels do not count as valid source pixels in AffineValidPixelRatio.
VisionTool.ParameterGuide.Affine.BorderType.Check	Preview 외곽의 채움 무늬와 인공 엣지, AffineValidPixelRatio, 후속 Threshold/Blob/Contour 후보가 프레임 밖 채움에서 생기지 않는지 확인하세요.	Check Preview border patterns and artificial edges, AffineValidPixelRatio, and whether downstream Threshold, Blob, or Contour candidates arise from frame-exterior filling.
VisionTool.ParameterGuide.Affine.BorderValue.Summary	BorderType이 Constant일 때 소스 밖 출력 픽셀의 모든 회색/색상 채널에 사용하는 0..255 스칼라 값입니다.	The 0..255 scalar applied to every gray or color channel for output pixels outside the source when BorderType is Constant.
VisionTool.ParameterGuide.Affine.BorderValue.Impact	값을 높이면 상수 경계가 밝아지고 낮추면 어두워져 프레임 가장자리의 Threshold·Edge·Blob 반응이 달라질 수 있습니다. Affine 행렬과 유효 픽셀 비율 계산은 바뀌지 않습니다.	Raising makes the constant border brighter and lowering makes it darker, which can alter Threshold, Edge, or Blob response at the frame boundary. The affine matrix and valid-pixel-ratio calculation do not change.
VisionTool.ParameterGuide.Affine.BorderValue.BestWhen	Constant 경계를 실제 배경 밝기와 맞추고 후속 검사가 경계 채움과 물체를 혼동하지 않는지 검증할 때 사용하세요.	Use it to match a Constant border to the real background brightness and verify downstream inspection does not confuse the fill with the object.
VisionTool.ParameterGuide.Affine.BorderValue.Risk	색상 영상에서도 하나의 값이 모든 채널에 적용되어 회색 경계가 됩니다. BorderType이 Constant가 아니면 이 값은 현재 실행에 적용되지 않습니다.	On a color image, one value is applied to every channel, producing a gray border. This value is inactive when BorderType is not Constant.
VisionTool.ParameterGuide.Affine.BorderValue.Check	Constant Preview에서 경계 밝기와 후속 이진화/엣지 후보를 확인하고, 다른 BorderType에서는 값을 바꿔도 결과가 변하지 않는지 확인하세요.	In a Constant-border Preview, check border brightness and downstream binary or edge candidates; with another BorderType, verify changing the value does not change the result.
VisionTool.ParameterGuide.Affine.MinimumSourceArea.Summary	세 소스 점이 만드는 절대 삼각형 면적의 최소값(pixel²)입니다. 실제 면적이 이 값보다 작거나 세 점이 일직선이면 실행 전에 실패합니다.	The minimum absolute triangle area in pixel² formed by the three source points. Execution fails before warping when the area is below this value or the points are collinear.
VisionTool.ParameterGuide.Affine.MinimumSourceArea.Impact	높이면 서로 가까운 소스 점이나 거의 일직선인 티칭을 더 엄격히 거부합니다. 0으로 낮춰도 완전히 일직선인 세 점은 퇴화 조건으로 계속 거부됩니다.	Raising rejects tightly clustered or nearly collinear source teaching more strictly. Even at zero, exactly collinear points remain rejected as degenerate.
VisionTool.ParameterGuide.Affine.MinimumSourceArea.BestWhen	검출·클릭 좌표 오차가 행렬에 과도하게 증폭되지 않도록, 검증된 세 기준점 간격에 맞춘 양수 하한을 사용하세요.	Use a positive lower bound matched to validated reference-point spacing so detection or click coordinate errors are not excessively amplified in the matrix.
VisionTool.ParameterGuide.Affine.MinimumSourceArea.Risk	너무 높으면 정상적인 작은 기준 삼각형을 거부하고, 너무 낮으면 수치상 통과하지만 좌표 노이즈에 민감한 변환을 허용할 수 있습니다.	A value that is too high rejects a valid small reference triangle; too low can allow a numerically valid transform that is sensitive to coordinate noise.
VisionTool.ParameterGuide.Affine.MinimumSourceArea.Check	Preview/Run 진단의 AffineSourceTriangleArea와 거부 메시지를 확인하고, 대표 샘플에서 세 소스 점 드로잉과 행렬·후속 ROI 변동을 함께 검토하세요.	Check AffineSourceTriangleArea and reject diagnostics, then review the three source-point drawings, matrix, and downstream ROI variation across representative samples.
VisionTool.ParameterGuide.Affine.MinimumDestinationArea.Summary	세 목표 점이 만드는 절대 삼각형 면적의 최소값(pixel²)입니다. 실제 면적이 이 값보다 작거나 세 점이 일직선이면 실행 전에 실패합니다.	The minimum absolute triangle area in pixel² formed by the three destination points. Execution fails before warping when the area is below this value or the points are collinear.
VisionTool.ParameterGuide.Affine.MinimumDestinationArea.Impact	높이면 지나치게 작거나 거의 일직선인 출력 기준 프레임을 더 엄격히 거부합니다. 0이어도 완전히 일직선인 목표 점은 허용되지 않습니다.	Raising rejects excessively small or nearly collinear output reference frames more strictly. Exactly collinear destination points remain invalid even when the configured minimum is zero.
VisionTool.ParameterGuide.Affine.MinimumDestinationArea.BestWhen	후속 고정 ROI가 사용할 기준 프레임의 정상 삼각형 면적을 알고 있고, 잘못된 목표 좌표 입력을 실행 전에 차단하려 할 때 사용하세요.	Use it when the normal triangle area of the downstream reference frame is known and incorrect destination-coordinate teaching should be blocked before execution.
VisionTool.ParameterGuide.Affine.MinimumDestinationArea.Risk	하한이 너무 높으면 의도한 작은 출력 기준을 거부하고, 너무 낮으면 점 순서 오류나 불안정한 작은 프레임을 충분히 경고하지 못할 수 있습니다.	A threshold that is too high rejects an intended small output reference; too low may not adequately guard against ordering mistakes or an unstable tiny frame.
VisionTool.ParameterGuide.Affine.MinimumDestinationArea.Check	AffineDestinationTriangleArea, 목표 점/삼각형 드로잉, 행렬의 Determinant·ScaleX/Y와 후속 ROI 크기·위치를 확인하세요.	Check AffineDestinationTriangleArea, destination-point and triangle drawings, matrix Determinant and ScaleX/Y, and downstream ROI size and position.
VisionTool.ParameterGuide.Affine.MinimumValidPixelRatio.Summary	출력 캔버스 픽셀 중 실제 소스 영상에서 변환되어 온 픽셀의 최소 비율(0..1)입니다. 경계 채움은 유효 픽셀로 세지 않으며, 실행 후 비율이 하한보다 작으면 증거를 남기고 실패합니다.	The minimum fraction, from 0 to 1, of output-canvas pixels transformed from the real source image. Border fill does not count as valid; after warping, a ratio below the threshold fails while retaining correction evidence.
VisionTool.ParameterGuide.Affine.MinimumValidPixelRatio.Impact	높이면 잘림·캔버스 밖 이동·과도한 빈 영역을 더 엄격히 거부합니다. 낮추면 부분 소스만 남은 결과도 통과하며, 0은 비율 기반 거부를 사실상 끕니다.	Raising rejects clipping, off-canvas motion, and excessive empty area more strictly. Lowering allows outputs with less retained source; zero effectively disables ratio-based rejection.
VisionTool.ParameterGuide.Affine.MinimumValidPixelRatio.BestWhen	후속 ROI가 필요로 하는 소스 영역이 출력에 충분히 남는 최소 비율을 대표 OK/NG와 드로잉으로 정한 뒤 고정하세요.	Freeze it after representative OK/NG samples and drawings establish the minimum retained-source fraction required by downstream ROIs.
VisionTool.ParameterGuide.Affine.MinimumValidPixelRatio.Risk	높은 전체 비율도 중요한 특정 ROI가 잘리지 않았음을 보장하지 않습니다. 낮은 하한은 검정/반사 경계가 큰 결과를 통과시킬 수 있으므로 비율만으로 정렬 품질을 판단하지 마세요.	A high global ratio does not prove a critical ROI is uncut. A low threshold can pass results dominated by constant or reflected borders, so do not judge alignment quality from ratio alone.
VisionTool.ParameterGuide.Affine.MinimumValidPixelRatio.Check	AffineValidPixelRatio와 변환 프레임 드로잉을 확인하고, 후속 고정 ROI 전체가 실제 소스 내용 위에 있는지 확대 검토하세요.	Check AffineValidPixelRatio and the transformed-frame drawing, then zoom in to confirm every downstream fixed ROI lies over real source content.
PropertyGrid.Type.BlobProperty.MAX_AREA.DisplayName	최대 면적	Maximum area
PropertyGrid.Type.BlobProperty.MAX_WIDTH.DisplayName	최대 바운딩 폭	Maximum bounding width
PropertyGrid.Type.BlobProperty.MAX_HEIGHT.DisplayName	최대 바운딩 높이	Maximum bounding height
PropertyGrid.Type.ContourProperty.USE_APPROXPOLYDP.DisplayName	다각형 추가 근사	Additional polygon approximation
PropertyGrid.Type.ContourProperty.DrawMode.DisplayName	표시 방식	Drawing mode
PropertyGrid.Type.ContourProperty.ApproximationModes.DisplayName	윤곽점 근사 방식	Contour approximation mode
PropertyGrid.Type.ContourProperty.DetectMode.DisplayName	윤곽 검색 방식	Contour retrieval mode
PropertyGrid.Type.ContourProperty.EPSILON.DisplayName	근사 허용 오차	Approximation epsilon
PropertyGrid.Type.ContourProperty.MAX_AREA.DisplayName	최대 면적	Maximum area
PropertyGrid.Type.ContourProperty.MAX_WIDTH.DisplayName	최대 바운딩 폭	Maximum bounding width
PropertyGrid.Type.ContourProperty.MAX_HEIGHT.DisplayName	최대 바운딩 높이	Maximum bounding height
PropertyGrid.Type.ContourProperty.DrawColor.DisplayName	표시 색상	Drawing color
PropertyGrid.Type.ContourProperty.DrawThickness.DisplayName	표시 두께	Drawing thickness
PropertyGrid.Type.ThresholdToolProperty.Mode.DisplayName	Threshold 모드	Threshold mode
PropertyGrid.Type.ThresholdToolProperty.Threshold.DisplayName	기준 밝기	Threshold value
PropertyGrid.Type.ThresholdToolProperty.MaxValue.DisplayName	출력 최대값	Output maximum
PropertyGrid.Type.ThresholdToolProperty.ThresholdType.DisplayName	일반 결과 극성	Basic result polarity
PropertyGrid.Type.ThresholdToolProperty.RangeMin.DisplayName	범위 하한	Range minimum
PropertyGrid.Type.ThresholdToolProperty.RangeMax.DisplayName	범위 상한	Range maximum
PropertyGrid.Type.ThresholdToolProperty.Invert.DisplayName	범위 반전	Range invert
PropertyGrid.Type.ThresholdToolProperty.AdaptiveType.DisplayName	Adaptive 계산 방식	Adaptive method
PropertyGrid.Type.ThresholdToolProperty.AdaptiveThresholdType.DisplayName	Adaptive 결과 극성	Adaptive result polarity
PropertyGrid.Type.ThresholdToolProperty.BlockSize.DisplayName	로컬 블록 크기	Local block size
PropertyGrid.Type.ThresholdToolProperty.Weight.DisplayName	로컬 보정값	Local correction
PropertyGrid.Type.MorphologyToolProperty.Operator.DisplayName	모폴로지 연산	Morphology operation
PropertyGrid.Type.MorphologyToolProperty.Shape.DisplayName	커널 형상	Kernel shape
PropertyGrid.Type.MorphologyToolProperty.KernelWidth.DisplayName	커널 폭	Kernel width
PropertyGrid.Type.MorphologyToolProperty.KernelHeight.DisplayName	커널 높이	Kernel height
